Timestamp,Price,Volume,Market Cap,Price Change (%),Hourly Volume,Volume Change (%),Token,Market Cap Change (%)
2024-03-20 22:02:59,0.4352780295038998,15665040.138326457,121379983.77071507,1.4005013005345957,-158922.20326865837,,Mobox,1.6566480420125318
2024-03-20 23:08:25,0.429325925935356,16144625.069331476,119726324.32477902,-1.3674256831495923,479584.9310050197,-401.7733967570788,Mobox,-1.3623823257875811
2024-03-21 00:01:15,0.4345243663100044,16181087.572226085,121092448.38889678,1.2108377483430077,36462.502894608304,-92.39707077155295,Mobox,1.1410390086075806
2024-03-21 01:04:01,0.4323521955234915,15891160.314393671,120398392.594887,-0.49989619798747054,-289927.25783241354,-895.1381139973389,Mobox,-0.5731619132687493
2024-03-21 02:02:01,0.4311821441469629,15667751.783744914,119910024.81373622,-0.270624594634461,-223408.53064875677,-22.943247103073883,Mobox,-0.40562649602311485
2024-03-21 03:06:01,0.4396613480858154,16667790.652908012,122824210.2850615,1.966501640652929,1000038.8691630978,-547.6278798571755,Mobox,2.430310122820889
2024-03-21 04:09:26,0.4314753348695939,16959933.995169234,120510884.24856372,-1.8618905782510908,292143.34226122126,-70.78680126646407,Mobox,-1.8834446654521941
2024-03-21 05:09:14,0.4270847904903133,15892271.791055167,119075301.222413,-1.0175655534533812,-1067662.2041140664,-465.45833831099657,Mobox,-1.1912476081328172
2024-03-21 06:09:30,0.4317602709564805,16311266.13353984,119198313.17649888,1.0947429106055395,418994.3424846735,-139.24409245453714,Mobox,0.10330601965566899
2024-03-21 07:08:46,0.429059103928978,15001377.026915368,119142343.74058232,-0.6256173180359093,-1309889.106624473,-412.62691969937225,Mobox,-0.04695488923042168
2024-03-21 08:06:01,0.4311728814646324,14574159.523468668,120103559.9542056,0.4926541626312453,-427217.50344670005,-67.38521594796516,Mobox,0.8067796750047318
2024-03-21 09:06:31,0.4354337409493506,13811727.348595671,121144460.53304848,0.9882021035842348,-762432.1748729963,78.46463890684616,Mobox,0.8666692138349363
2024-03-21 10:04:06,0.4348518511730589,13747938.195320142,120653672.45998614,-0.1336345169354658,-63789.15327552892,-91.63346519496574,Mobox,-0.40512630202225175
2024-03-21 11:04:09,0.43728508236511,13376708.467344703,121884157.68384944,0.5595540608800853,-371229.7279754393,481.9637178314014,Mobox,1.0198489600649285
2024-03-21 12:04:58,0.4385796641757956,13448812.363103006,121480583.03169952,0.29604984548836644,72103.89575830288,-119.42298537122365,Mobox,-0.3311132962798391
2024-03-21 13:01:10,0.4387343319578083,13349178.914169911,121995394.5870208,0.035265607287882084,-99633.44893309474,-238.1803963367982,Mobox,0.4237809388739411
2024-03-21 14:04:31,0.4393602054083708,14302456.422677284,122108322.5603886,0.14265431377791238,953277.5085073728,-1056.7846127132586,Mobox,0.09256740695013921
2024-03-21 15:02:27,0.4441265262794837,13738900.55763929,123175433.9392849,1.0848321747033873,-563555.8650379945,-159.1177133634886,Mobox,0.8739055262744877
2024-03-21 16:08:07,0.4360412558222793,13781879.70875641,121114464.76012714,-1.8204880768856402,42979.15111711994,-107.62642246908784,Mobox,-1.673198228937145
2024-03-21 17:08:23,0.4329108909397691,14673503.329824062,120792542.01459832,-0.7179056661982708,891623.6210676525,1974.5491660315527,Mobox,-0.2658004113434309
2024-03-21 18:03:04,0.4257355295489851,15002465.287150536,118507455.46870002,-1.6574684400310735,328961.95732647367,-63.1052890980427,Mobox,-1.8917447284304556
2024-03-21 19:03:42,0.421529374078648,15301883.235069992,117219170.9136984,-0.987973795561059,299417.9479194563,-8.980980550798723,Mobox,-1.0870915672827608
2024-03-21 20:04:58,0.4270520433991093,14620566.050504208,118888623.95033036,1.310150528069931,-681317.1845657844,-327.54720927720047,Mobox,1.424215018429953
2024-03-21 21:07:10,0.4277470594633565,15505675.98435629,119101878.11807343,0.16274739226518342,885109.9338520821,-229.9115821386743,Mobox,0.17937306418163157
2024-03-21 22:03:22,0.4287948336463599,15404632.86900634,118747536.24644156,0.244951814354466,-101043.11534995027,-111.41588309942485,Mobox,-0.29751157347879253
2024-03-21 23:02:41,0.4270662129699896,13977401.585793076,119005413.70493224,-0.40313467904231626,-1427231.2832132634,1312.4973069864534,Mobox,0.21716447064257238
2024-03-22 00:08:44,0.4276286698132394,13417264.493391717,119279881.80554315,0.13170249159684122,-560137.0924013592,-60.75358640259982,Mobox,0.2306349703480315
2024-03-22 01:08:38,0.4236564272449248,13659378.946168508,118062620.80903552,-0.9288999659563091,242114.45277679153,-143.22414210043198,Mobox,-1.0205082182191294
2024-03-22 02:04:36,0.4250874028306937,13770798.618266784,118864640.71596898,0.33776793971347363,111419.67209827527,-53.98057785464194,Mobox,0.6793173838065991
2024-03-22 03:06:57,0.4278325708006876,14183864.631711025,118865851.74530546,0.6457890663693178,413066.01344424114,270.72987710815136,Mobox,0.0010188306036162942
2024-03-22 04:07:11,0.4331641437431336,13248143.933688683,120739491.8181673,1.2461821063478151,-935720.6980223414,-326.5305465874772,Mobox,1.5762643731157544
2024-03-22 05:02:21,0.4296237063665882,13476557.310478527,119343871.4871403,-0.8173431313938329,228413.37678984366,-124.41042260501436,Mobox,-1.1558938256331142
2024-03-22 06:02:34,0.4296594179006917,13863625.088169156,119006885.62695834,0.00831228202127221,387067.77769062854,69.45932989150548,Mobox,-0.28236545034343585
2024-03-22 07:04:51,0.4337446996147835,14734831.815261856,120500562.9704937,0.9508186121119921,871206.7270927001,125.0785979371884,Mobox,1.2551184208092536
