Timestamp,Price,Volume,Market Cap,Price Change (%),Hourly Volume,Volume Change (%),Token,Market Cap Change (%)
2024-03-20 22:00:42,0.1494166886620791,3582060.3955312995,91232966.18882692,-0.730029749165495,46149.4178371625,,SaucerSwap,2.6462431158728705
2024-03-20 23:02:07,0.1482886313586534,3569686.0106258043,91507347.48763756,-0.7549741019739264,-12374.384905495215,-126.81373998943614,SaucerSwap,0.3007479755100295
2024-03-21 00:02:20,0.1507931507905098,3625812.786260256,91121529.6045084,1.6889490508540383,56126.77563445177,-553.5722467265989,SaucerSwap,-0.42162503200224855
2024-03-21 01:07:21,0.150853642678288,3654194.1083786734,92246132.47465529,0.04011580596403608,28381.32211841736,-49.4335425514871,SaucerSwap,1.23417909579433
2024-03-21 02:07:33,0.1498916131718924,3634886.326187355,91658365.17000765,-0.6377237495333365,-19307.78219131846,-168.0298899070285,SaucerSwap,-0.6371728427846279
2024-03-21 03:02:28,0.150060967560126,3786681.8867234015,91748789.65147172,0.11298456574710958,151795.5605360465,-886.1884862379469,SaucerSwap,0.09865382313589688
2024-03-21 04:08:46,0.1503429330998373,3749575.368431166,91855099.66259553,0.18790065417799706,-37106.518292235676,-124.4450616086523,SaucerSwap,0.1158707504781864
2024-03-21 05:09:18,0.1498407824485942,3757281.741417487,91489717.769476,-0.33400349513577066,7706.3729863213375,-120.76824596053208,SaucerSwap,-0.3977807377724907
2024-03-21 06:09:35,0.1482462381861351,3726483.204297405,90683440.91093609,-1.0641590603053142,-30798.53712008195,-499.6502268284802,SaucerSwap,-0.8812759271719095
2024-03-21 07:08:25,0.1487280060509517,3666780.317031745,90483304.98536073,0.32497813820524524,-59702.887265660334,93.84975017768467,SaucerSwap,-0.2206973219861852
2024-03-21 08:01:16,0.1511619483057461,3766561.7065509446,92243553.925088,1.63650567194491,99781.38951919973,-267.12992300556897,SaucerSwap,1.9453853282791478
2024-03-21 09:03:13,0.1510814765198546,3763568.8138767993,92012528.63664652,-0.05323547810375251,-2992.8926741452888,-102.99944978574327,SaucerSwap,-0.25045141759075795
2024-03-21 10:04:03,0.1516995802951982,3762886.4831330143,92721032.140632,0.40911949603721354,-682.3307437850162,-77.2016300591241,SaucerSwap,0.7700076440495751
2024-03-21 11:08:12,0.152046260991696,3780602.433023565,93161573.48294844,0.22853108480800355,17715.94989055069,-2696.387463398909,SaucerSwap,0.4751255806215049
2024-03-21 12:00:48,0.1511837305588064,3748806.2568580015,92618247.02035008,-0.5672815807925002,-31796.17616556352,-279.477681761354,SaucerSwap,-0.5832087654657259
2024-03-21 13:00:23,0.1516407043866668,3670578.217244973,92651419.63284388,0.30226389186940317,-78228.03961302852,146.02970874765907,SaucerSwap,0.035816497894325394
2024-03-21 14:00:43,0.1507905777611737,3034822.691134679,92193916.50441168,-0.5606190164649916,-635755.5261102938,712.6952039897619,SaucerSwap,-0.49378965831843313
2024-03-21 15:08:04,0.1523517392767112,3877334.861844293,93171415.57066332,1.0353176827865962,842512.1707096137,-232.52140738190778,SaucerSwap,1.0602641728588047
2024-03-21 16:08:09,0.1520726836470632,3939447.3696009777,92707529.25461784,-0.1831653717724646,62112.50775668491,-92.62770201831387,SaucerSwap,-0.49788479997242563
2024-03-21 17:03:00,0.1530999887238146,3986713.307348807,93256815.99723554,0.6755355742492419,47265.93774782913,-23.902705823784586,SaucerSwap,0.5924942095146379
2024-03-21 18:04:30,0.1521402241915657,3266255.582817797,93176951.09612451,-0.6268873957791632,-720457.7245310098,-1624.2641082776352,SaucerSwap,-0.08563974681848885
2024-03-21 19:00:41,0.1494396104500511,3474551.197497018,91878806.99673946,-1.7750820046867677,208295.61467922106,-128.9115665759311,SaucerSwap,-1.3932030229727554
2024-03-21 20:07:52,0.1483449800441173,3445396.1223676023,90654019.94582562,-0.7324901360738378,-29155.07512941584,-113.99697020713336,SaucerSwap,-1.333046314975883
2024-03-21 21:06:14,0.1520195273802067,3451060.249323479,92316510.27347164,2.4770284339898696,5664.126955876593,-119.42758483980651,SaucerSwap,1.833884838906763
2024-03-21 22:06:57,0.1507025701463469,3332410.774865024,92166967.06608848,-0.8663079385624162,-118649.47445845511,-2194.7530905068256,SaucerSwap,-0.1619896667889198
2024-03-21 23:06:01,0.1528116052051774,3264698.3822001163,92043147.8769927,1.3994685404385754,-67712.3926649075,-42.9307268540689,SaucerSwap,-0.13434226278379313
2024-03-22 00:06:37,0.1513283850218405,3301887.4518480515,92590649.11809446,-0.9706201183773855,37189.06964793522,-154.92210241628155,SaucerSwap,0.5948310696994419
2024-03-22 01:06:14,0.1518961655669094,3306900.843012381,92963596.48139568,0.37519765045199716,5013.391164329369,-86.5191810072406,SaucerSwap,0.4027916067696369
2024-03-22 02:04:59,0.1501447557602172,3276204.6288410625,91971280.9801301,-1.153030953846368,-30696.214171318337,-712.2844431075729,SaucerSwap,-1.0674237430822298
2024-03-22 03:05:45,0.1484244767137724,3106545.587063351,91338369.20710488,-1.145747007769038,-169659.04177771136,452.70347291307314,SaucerSwap,-0.6881623983925667
2024-03-22 04:05:20,0.1486849843611827,3102873.9102932788,90505955.91253316,0.17551528775989755,-3671.6767700724304,-97.83584963607004,SaucerSwap,-0.9113511679678221
2024-03-22 05:00:09,0.1506869119356475,3108856.987270883,92047415.05439122,1.3464221576011903,5983.076977604069,-262.95217014666684,SaucerSwap,1.7031576831780582
2024-03-22 06:05:29,0.1515045421984842,3089323.76516055,92648204.57654256,0.5426020430930656,-19533.22211033292,-426.4745244537206,SaucerSwap,0.6526957023142099
